NCT_id,matched_string,manual_string,criteria_string,parent_concept_id,parent_concept_name,w.mod,severity_modifier,severity_term,pre_post,snomed_id,snomed_name,c2q_snomed_id,c2q_snomed_name
NCT03987061,dementia,dementia,"er's disease,
             vasculitis)

          -  Severe medical comorbidities (untreated CAD/CHF, severe COPD, metastatic malignancy,
             dementia, etc) or other medical condition that wo",4182210,Dementia,TRUE,unmarked,,,52448006,Dementia (disorder),,
NCT03988166,pericarditis,pericarditis,"c blood pressure <100 mmHg or cardiogenic shock

               -  Acute pulmonary edema or severe congestive heart failure

               -  Suspected acute myocarditis, pericarditis, endocarditis, ",4138837,Pericarditis,TRUE,unmarked,,,3238004,Pericarditis (disorder),,
NCT03989427,gingivitis,gingivitis,"cal College

        Exclusion Criteria:

          -  Participants who had systemic diseases

          -  Gingivitis or periodontitis

          -  Use of antibiotics in the past 3 months,

        ",4281516,Gingivitis,FALSE,unmarked,,,66383009,Gingivitis (disorder),,
NCT04003389,panic,Papanicolaou (PAP) smear,"ave had a partial (supra-cervical) or full hysterectomy.

          -  Subject has documentation of a normal or not clinically significant Papanicolaou (Pap)
             test (or equivalent cervical ",4196358,Panic,TRUE,unmarked,,,N/A,,,
NCT04018833,macular edema,macular edema," such as:

          -  significant vitreoretinal interface abnormality on SD-OCT that may contribute to
             macular edema

          -  age-related macular degeneration

          -  retinal",4290333,Macular retinal edema,TRUE,unmarked,,,37231002,Macular retinal edema (disorder),,
NCT04020653,panic,tympanic,"00 and 100,000 asexual
             parasite count/μL of blood.

             B. Fever, as defined by axillary/tympanic of ≥37.5°C within 24 hours before
             randomization (must be documented",4196358,Panic,FALSE,unmarked,,,N/A,,,
NCT04021797,major depression,major depression,"lar functioning, including doctor diagnosed arrhythmia,
             bradycardia, hypertension, congestive heart failure, major depression, bipolar
             disorder, post-traumatic stress disorde",4152280,Major depressive disorder,FALSE,severe,major,pre,370143000,Major depressive disorder (disorder),,
NCT04023825,cleft palate,cleft palate,"-  children between 5 months and 12 years old

          -  weight >5kg

          -  children undergoing cleft palate repair surgery with or without upper lip surgery

        Exclusion Criteria:

  ",135923,Cleft palate,FALSE,unmarked,,,87979003,Cleft palate (disorder),,
NCT04033588,muscular dystrophy,muscular dystrophy," Subjects with other significant disabling problems from the muscular-skeletal system
             other than in the knees (i.e muscular dystrophy, polio, neuropathic joints).

          -  Subjects w",4247802,Muscular dystrophy,TRUE,unmarked,,,73297009,Muscular dystrophy (disorder),,
NCT04038294,frailty,frailty,"evere regurgitation or
             combined CABG/valve procedures.

          2. Patients with a Clinical Frailty Score (CFS) from 3 (Managing Well) to 7 (severely
             frail),

          3. ",4086506,Frailty,TRUE,unmarked,,,248279007,Frailty (finding),,
NCT04044729,pain,joint pain,"nclusion Criteria:

          -  Age between 18-50 yrs.

          -  Chronic musculoskeletal and joint pain for at least 3 months or longer.

          -  Participants must live within a 60 mile radi",4329041,Pain,FALSE,unmarked,,,57676002,Joint pain (finding),,
NCT04060758,macular oedema,cystoid macular oedema," narrow angles. Note: Previous laser peripheral iridotomy is NOT acceptable.

          -  Have a history of or current uveitis, cystoid macular oedema (CME), or cornea oedema
             in the stud",4290333,Macular retinal edema,FALSE,unmarked,,,193387007,Cystoid macular edema (disorder),,
NCT04073173,birth asphyxia,severe birth asphyxia,"        -  late admission (after 24 hours of life),

          -  intubation in the delivery room,

          -  severe birth asphyxia,

          -  prolonged rupture of membranes,

          -  air ",4184996,Birth asphyxia,TRUE,severe,severe,pre,57284007,Severe birth asphyxia (disorder),,
NCT04090424,multiple trauma,multiple trauma,"een experienced by the subject including soft-tissue
             degloving and friction burn/crush, i.e., road rash

          3. Multiple traumas, i.e., significant traumatic injury to a solid organ",4096313,Multiple injuries,TRUE,unmarked,,,262519004,Multiple injuries (disorder),,
NCT04098328,pericarditis,constrictive pericarditis,"       17. Infiltrative cardiomyopathies (e.g., amyloidosis, hemochromatosis, sarcoidosis),
             hypertrophic or restrictive cardiomyopathies, and constrictive pericarditis

         18. Activ",4138837,Pericarditis,FALSE,unmarked,,,85598007,Constrictive pericarditis (disorder),,
NCT04123119,malnutrition,malnutrition,"ipation in another clinical trial throughout the entire timeframe for
             this study

          -  Presence of malnutrition or any systemic disorder (cardiovascular, pulmonary, hepatic,
     ",4090739,Nutritional disorder,FALSE,unmarked,,,2492009,Nutritional disorder (disorder),,
